web-scraper-order,web-scraper-start-url,Category,Category-href,Name,description,gem_name,repository,repository-href
1517280942-22471,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,acts_as_fulltextable,Creates an auxiliary table in order to be used with full-text searches,acts_as_fulltextable,toptierlabs/acts_as_fulltextable,https://github.com/toptierlabs/acts_as_fulltextable
1517280950-22507,https://www.ruby-toolbox.com/,Pagination,https://www.ruby-toolbox.com/categories/pagination.html,Has paginate,null,null,willian/has_paginate,https://github.com/willian/has_paginate
1517280950-22500,https://www.ruby-toolbox.com/,Pagination,https://www.ruby-toolbox.com/categories/pagination.html,Kaminari,"Kaminari is a Scope & Engine based, clean, powerful, agnostic, customizable and sophisticated paginator for Rails 3+",kaminari,amatsuda/kaminari,https://github.com/amatsuda/kaminari
1517280953-22509,https://www.ruby-toolbox.com/,Active Record Versioning,https://www.ruby-toolbox.com/categories/Active_Record_Versioning.html,audited,Log all changes to your models,audited,collectiveidea/audited,https://github.com/collectiveidea/audited
1517280955-22536,https://www.ruby-toolbox.com/,Active Record Value Cleanup,https://www.ruby-toolbox.com/categories/Active_Record_Value_Cleanup.html,clean_room,"Work in progress, this will be a generic attribute sanitizer which can be used for sanitizing models and other objects holding data",clean_room,ahmeij/clean_room,https://github.com/ahmeij/clean_room
1517280963-22562,https://www.ruby-toolbox.com/,Active Record Sharding,https://www.ruby-toolbox.com/categories/Active_Record_Sharding.html,Db-charmer,"DbCharmer is a Rails plugin (and gem) that could be used to manage AR model connections, implement master/slave query schemes, sharding and other magic features many high-scale applications need.",db-charmer,kovyrin/db-charmer,https://github.com/kovyrin/db-charmer
1517280972-22599,https://www.ruby-toolbox.com/,Active Record Enumerations,https://www.ruby-toolbox.com/categories/Active_Record_Enumerations.html,Enumerated attribute,Enumerated model attributes and view helpers,enumerated_attribute,jeffp/enumerated_attribute,https://github.com/jeffp/enumerated_attribute
1517280963-22561,https://www.ruby-toolbox.com/,Active Record Sharding,https://www.ruby-toolbox.com/categories/Active_Record_Sharding.html,Octopus,This gem allows you to use sharded databases with ActiveRecord. This also provides a interface for replication and for running migrations with multiples shards.,ar-octopus,tchandy/octopus,https://github.com/tchandy/octopus
1517280942-22474,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,slingshot-rb,"This gem has been renamed to ""tire"", please go to https://rubygems.org/gems/tire",slingshot-rb,karmi/slingshot,https://github.com/karmi/slingshot
1517280948-22497,https://www.ruby-toolbox.com/,Rails Comments,https://www.ruby-toolbox.com/categories/rails_comments.html,opinio,Opinio is an engine used to add comments functionallity to rails 3 applications.,opinio,Draiken/opinio,https://github.com/Draiken/opinio
1517280942-22462,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,searchlight,"Searchlight is a low-magic way to build database searches using an ORM. It's compatible with ActiveRecord, Sequel, Mongoid, and any other ORM that can build queries by chaining method calls.",searchlight,nathanl/searchlight,https://github.com/nathanl/searchlight
1517280942-22448,https://www.ruby-toolbox.com/,Rails Search,https://www.ruby-toolbox.com/categories/rails_search.html,Sunspot,, all-ruby API for the Solr search engine. Sunspot manages the configuration of persistent Ruby classes for search and indexing and exposes Solr's most powerful features through a collection of DSLs. Complex search operations can be performed without hand-writing...,1517280942-22448,https://www.ruby-toolbox.com/
